SHIP_ID,CABIN_TYPE_ID,CABIN_NO,DECK_NO
150012,1625608,11,1
150012,1625608,12,2
150012,1625608,13,3
150012,1625608,14,4
150012,1625608,21,1
150012,1625608,22,2
150012,1625608,23,3
150012,1625608,24,4
150012,1625608,31,1
150012,1625608,32,2
150012,1625608,33,3
150012,1625608,34,4
150012,1625608,41,1
150012,1625608,42,2
150012,1625608,43,3
150012,1625608,44,4
150012,1625608,51,1
150012,1625608,52,2
150012,1625608,53,3
150012,1625608,54,4
150012,1625608,61,1
150012,1625608,62,2
150012,1625608,63,3
150012,1625608,64,4
150012,1625608,71,1
150012,1625608,72,2
150012,1625608,73,3
150012,1625608,74,4
150012,1625608,81,1
150012,1625608,82,2
150012,1625608,83,3
150012,1625608,84,4
150012,1625608,91,1
150012,1625608,92,2
150012,1625608,93,3
150012,1625608,94,4
150012,1625608,101,1
150012,1625608,102,2
150012,1625608,103,3
150012,1625608,104,4
150012,1625608,111,1
150012,1625608,112,2
150012,1625608,113,3
150012,1625608,114,4
150012,1625608,121,1
150012,1625608,122,2
150012,1625608,123,3
150012,1625608,124,4
150012,1625608,131,1
150012,1625608,132,2
150012,1625608,133,3
150012,1625608,134,4
150012,1625608,141,1
150012,1625608,142,2
150012,1625608,143,3
150012,1625608,144,4
150012,1625608,151,1
150012,1625608,152,2
150012,1625608,153,3
150012,1625608,154,4
150012,1625608,161,1
150012,1625608,162,2
150012,1625608,163,3
150012,1625608,164,4
150012,1625608,171,1
150012,1625608,172,2
150012,1625608,173,3
150012,1625608,174,4
150012,1625608,181,1
150012,1625608,182,2
150012,1625608,183,3
150012,1625608,184,4
150012,1625608,191,1
150012,1625608,192,2
150012,1625608,193,3
150012,1625608,194,4
150012,1625608,201,1
150012,1625608,202,2
150012,1625608,203,3
150012,1625608,204,4
150012,1625608,211,1
150012,1625608,212,2
150012,1625608,213,3
150012,1625608,214,4
150012,1625608,221,1
150012,1625608,222,2
150012,1625608,223,3
150012,1625608,224,4
150012,1625608,231,1
150012,1625608,232,2
150012,1625608,233,3
150012,1625608,234,4
150012,1625608,241,1
150012,1625608,242,2
150012,1625608,243,3
150012,1625608,244,4
150012,1625608,251,1
150012,1625608,252,2
150012,1625608,253,3
150012,1625608,254,4
150012,1625608,261,1
150012,1625608,262,2
150012,1625608,263,3
150012,1625608,264,4
150012,1625608,271,1
150012,1625608,272,2
150012,1625608,273,3
150012,1625608,274,4
150012,1625608,281,1
150012,1625608,282,2
150012,1625608,283,3
150012,1625608,284,4
150012,1625608,291,1
150012,1625608,292,2
150012,1625608,293,3
150012,1625608,294,4
150012,1625608,301,1
150012,1625608,302,2
150012,1625608,303,3
150012,1625608,304,4
150012,1625608,311,1
150012,1625608,312,2
150012,1625608,313,3
150012,1625608,314,4
150012,1625608,321,1
150012,1625608,322,2
150012,1625608,323,3
150012,1625608,324,4
150012,1625608,331,1
150012,1625608,332,2
150012,1625608,333,3
150012,1625608,334,4
150012,1625608,341,1
150012,1625608,342,2
150012,1625608,343,3
150012,1625608,344,4
150012,1625608,351,1
150012,1625608,352,2
150012,1625608,353,3
150012,1625608,354,4
150012,1625608,361,1
150012,1625608,362,2
150012,1625608,363,3
150012,1625608,364,4
150012,1625608,371,1
150012,1625608,372,2
150012,1625608,373,3
150012,1625608,374,4
150012,1625608,381,1
150012,1625608,382,2
150012,1625608,383,3
150012,1625608,384,4
150012,1625608,391,1
150012,1625608,392,2
150012,1625608,393,3
150012,1625608,394,4
150012,1625608,401,1
150012,1625608,402,2
150012,1625608,403,3
150012,1625608,404,4
150012,1625608,411,1
150012,1625608,412,2
150012,1625608,413,3
150012,1625608,414,4
150012,1625608,421,1
150012,1625608,422,2
150012,1625608,423,3
150012,1625608,424,4
150012,1625608,431,1
150012,1625608,432,2
150012,1625608,433,3
150012,1625608,434,4
150012,1625608,441,1
150012,1625608,442,2
150012,1625608,443,3
150012,1625608,444,4
150012,1625608,451,1
150012,1625608,452,2
150012,1625608,453,3
150012,1625608,454,4
150012,1625608,461,1
150012,1625608,462,2
150012,1625608,463,3
150012,1625608,464,4
150012,1625608,471,1
150012,1625608,472,2
150012,1625608,473,3
150012,1625608,474,4
150012,1625608,481,1
150012,1625608,482,2
150012,1625608,483,3
150012,1625608,484,4
150012,1625608,491,1
150012,1625608,492,2
150012,1625608,493,3
150012,1625608,494,4
150012,1625608,501,1
150012,1625608,502,2
150012,1625608,503,3
150012,1625608,504,4
150012,1625608,511,1
150012,1625608,512,2
150012,1625608,513,3
150012,1625608,514,4
150012,1625608,521,1
150012,1625608,522,2
150012,1625608,523,3
150012,1625608,524,4
150012,1625608,531,1
150012,1625608,532,2
150012,1625608,533,3
150012,1625608,534,4
150012,1625608,541,1
150012,1625608,542,2
150012,1625608,543,3
150012,1625608,544,4
150012,1625608,551,1
150012,1625608,552,2
150012,1625608,553,3
150012,1625608,554,4
150012,1625608,561,1
150012,1625608,562,2
150012,1625608,563,3
150012,1625608,564,4
150012,1625608,571,1
150012,1625608,572,2
150012,1625608,573,3
150012,1625608,574,4
150012,1625608,581,1
150012,1625608,582,2
150012,1625608,583,3
150012,1625608,584,4
150012,1625608,591,1
150012,1625608,592,2
150012,1625608,593,3
150012,1625608,594,4
150012,1625608,601,1
150012,1625608,602,2
150012,1625608,603,3
150012,1625608,604,4
150012,1625608,611,1
150012,1625608,612,2
150012,1625608,613,3
150012,1625608,614,4
150012,1625608,621,1
150012,1625608,622,2
150012,1625608,623,3
150012,1625608,624,4
150012,1625608,631,1
150012,1625608,632,2
150012,1625608,633,3
150012,1625608,634,4
150012,1625608,641,1
150012,1625608,642,2
150012,1625608,643,3
150012,1625608,644,4
150012,1625608,651,1
150012,1625608,652,2
150012,1625608,653,3
150012,1625608,654,4
150012,1625608,661,1
150012,1625608,662,2
150012,1625608,663,3
150012,1625608,664,4
150012,1625608,671,1
150012,1625608,672,2
150012,1625608,673,3
150012,1625608,674,4
150012,1625608,681,1
150012,1625608,682,2
150012,1625608,683,3
150012,1625608,684,4
150012,1625608,691,1
150012,1625608,692,2
150012,1625608,693,3
150012,1625608,694,4
150012,1625608,701,1
150012,1625608,702,2
150012,1625608,703,3
150012,1625608,704,4
150012,1625608,711,1
150012,1625608,712,2
150012,1625608,713,3
150012,1625608,714,4
150012,1625608,721,1
150012,1625608,722,2
150012,1625608,723,3
150012,1625608,724,4
150012,1625608,731,1
150012,1625608,732,2
150012,1625608,733,3
150012,1625608,734,4
150012,1625608,741,1
150012,1625608,742,2
150012,1625608,743,3
150012,1625608,744,4
150012,1625608,751,1
150012,1625608,752,2
150012,1625608,753,3
150012,1625608,754,4
150012,1625608,761,1
150012,1625608,762,2
150012,1625608,763,3
150012,1625608,764,4
150012,1625608,771,1
150012,1625608,772,2
150012,1625608,773,3
150012,1625608,774,4
150012,1625608,781,1
150012,1625608,782,2
150012,1625608,783,3
150012,1625608,784,4
150012,1625608,791,1
150012,1625608,792,2
150012,1625608,793,3
150012,1625608,794,4
150012,1625608,801,1
150012,1625608,802,2
150012,1625608,803,3
150012,1625608,804,4
150012,1625608,811,1
150012,1625608,812,2
150012,1625608,813,3
150012,1625608,814,4
150012,1625608,821,1
150012,1625608,822,2
150012,1625608,823,3
150012,1625608,824,4
150012,1625608,831,1
150012,1625608,832,2
150012,1625608,833,3
150012,1625608,834,4
150012,1625608,841,1
150012,1625608,842,2
150012,1625608,843,3
150012,1625608,844,4
150012,1625608,851,1
150012,1625608,852,2
150012,1625608,853,3
150012,1625608,854,4
150012,1625608,861,1
150012,1625608,862,2
150012,1625608,863,3
150012,1625608,864,4
150012,1625608,871,1
150012,1625608,872,2
150012,1625608,873,3
150012,1625608,874,4
150012,1625608,881,1
150012,1625608,882,2
150012,1625608,883,3
150012,1625608,884,4
150012,1625608,891,1
150012,1625608,892,2
150012,1625608,893,3
150012,1625608,894,4
150012,1625608,901,1
150012,1625608,902,2
150012,1625608,903,3
150012,1625608,904,4
150012,1625608,911,1
150012,1625608,912,2
150012,1625608,913,3
150012,1625608,914,4
150012,1625608,921,1
150012,1625608,922,2
150012,1625608,923,3
150012,1625608,924,4
150012,1625608,931,1
150012,1625608,932,2
150012,1625608,933,3
150012,1625608,934,4
150012,1625608,941,1
150012,1625608,942,2
150012,1625608,943,3
150012,1625608,944,4
150012,1625608,951,1
150012,1625608,952,2
150012,1625608,953,3
150012,1625608,954,4
150012,1625608,961,1
150012,1625608,962,2
150012,1625608,963,3
150012,1625608,964,4
150012,1625608,971,1
150012,1625608,972,2
150012,1625608,973,3
150012,1625608,974,4
150012,1625608,981,1
150012,1625608,982,2
150012,1625608,983,3
150012,1625608,984,4
150012,1625608,991,1
150012,1625608,992,2
150012,1625608,993,3
150012,1625608,994,4
150012,1625608,1001,1
150012,1625608,1002,2
150012,1625608,1003,3
150012,1625608,1004,4
150012,1625608,1011,1
150012,1625608,1012,2
150012,1625608,1013,3
150012,1625608,1014,4
150012,1625608,1021,1
150012,1625608,1022,2
150012,1625608,1023,3
150012,1625608,1024,4
150012,1625608,1031,1
150012,1625608,1032,2
150012,1625608,1033,3
150012,1625608,1034,4
150012,1625608,1041,1
150012,1625608,1042,2
150012,1625608,1043,3
150012,1625608,1044,4
