CABIN_TYPE_ID,SEQ,TITLE,CONTENT
1625608,1,Royal Suite Cabin with Balcony,The most luxurious cabin measures up at a huge 92m&#178; and sleeps up to 4. It comes with a separate living room with a sofa-bed a bedroom with a king-size bed and an en suite with a WC and a shower. Swish extras come in the form of a baby grand piano and a whirlpool bath. Expect plenty of light courtesy of glass doors that open onto a balcony.
1419541,1,Single Outside Cabin,These are on decks 2 and 3 and accommodate solo travellers. A picture window or porthole offers sea views and the cabin is kitted out with twin beds that convert to a queen-size double bed a sitting area with a sofa and an en suite with a WC and a shower. These cabins measure 14 m&#178;.
1419514,1,Balcony Cabin,Balcony cabins are on deck 6 and feature a set of twin beds that can convert to a queen-size double bed. You can also expect a sitting area an en suite with a WC and a shower and a balcony. These cabins sleep 2 and are between 13 and 14 m&#178;.
1419547,1,Decks 2/3 Inside Cabin,These cabins can be found on decks 2 and 3 and sleep up to 4 people. You&#8217;ll get twin beds that convert to a queen-size double bed and an en suite with a WC and a shower. Deck 2/3 inside cabins cover 12 m&#178;. Our 3 and 4-berth cabins have upper berths that fold down for extra sleeping space.
1419550,1,Decks 2/3 Outside Cabin,These Outside cabins can be found on decks 2 and 3 and have a picture window or porthole. They feature twin beds that convert to a queen-size double bed a sitting area with a sofa and an en suite with a WC and a shower. These sleep 2 to 4 people and measure 14 m&#178;. Our 3 and 4-berth cabins have upper berths that fold down for extra sleeping space.
1419553,1,Decks 6/7/8 Inside Cabin,These cabins feature twin beds that can convert to a queen-size double bed and an en suite with a WC and a shower. These cabins are on decks 6 7 and 8 sleep two and measure between 12 and 13 m&#178;.
1419559,1,Decks 7/8 Inside Plus Cabin,You get a set of twin beds that convert to a queen-size double bed and an en suite with a WC and a shower. You&#8217;ll find these cabins on decks 7 and 8 they sleep 2 people and measure 15 m&#178;.
1419538,1,Deluxe Balcony Cabin,These cabins are on decks 6 and 7 and have twin beds that convert to a queen-size double bed a sitting area an en suite with a WC and a shower and a balcony. They cover around 15 to 16 m&#178; and if there are 4 of you you&#8217;ll also get a sofa-bed.
1419508,1,Deluxe Cabin,These cabins are on decks 7 and 8 and come with the bonus of a floor-to-ceiling window. You&#8217;ll sleep on twin beds which can also convert to a queen-size double bed and have use of a sitting area with a sofa-bed and an en suite with a WC and a shower. Deluxe Cabins sleep up to 4 and measure a little over 20 m&#178;.
1625617,1,Executive Suite Cabin with Balcony,There are 5 Executive Suites which sleep 4 and come with a separate living area with a queen-size sofa-bed a queen- size bed and an en suite with a WC shower and bath. You can soak up the sea views from the comfort of your private balcony &#8211; it&#8217;s got glass doors which let in plenty of light. Executive Suites are spacious measuring in at 47m&#178;.
1561324,1,Executive Suite Cabin with Balcony Premier Service,There are 5 Executive Suites which sleep 4 and come with a separate living area with a queen-size sofa-bed a queen- size bed and an en suite with a WC shower and bath. You can soak up the sea views from the comfort of your private balcony &#8211; it&#8217;s got glass doors which let in plenty of light. Executive Suites are spacious measuring in at 47m2.
1625620,1,Family Junior Suite Cabin with Balcony,This cabin sits on deck 8 and sleeps 6. It&#8217;s got one bedroom with twin beds and a living area with a double sofa-bed and twin beds that convert to a queen-size double bed if needed as well as an en suite with a WC and a shower. A private balcony with double doors comes as standard. The cabin measures around 39 m&#178;.
1561327,1,Family Junior Suite Cabin with Balcony Premier Service,This cabin sits on deck 8 and sleeps 6. It&#8217;s got one bedroom with twin beds and a living area with a double sofa-bed and twin beds that convert to a queen-size double bed if needed as well as an en suite with a WC and a shower. A private balcony with double doors comes as standard. The cabin measures around 39 m&#178;.
