ITINERARY_ID,PORT_ID,DAY,DISTANCE
267385,000282,1,540.0
267385,000654,3,117.47
267385,001629,4,196.33
267385,002627,5,181.45
267385,L44069,6,152.92
267387,000718,1,517.36
267387,CMS022,3,68.31
267387,000655,4,242.69
267387,002636,5,100.94
267387,000465,6,36.24
267387,L00203,7,206.34
267389,000718,1,373.11
267389,004448,3,75.63
267389,001636,4,145.9
267389,002166,5,98.66
267389,000666,6,124.43
267389,002637,7,155.56
267391,000718,1,310.71
267391,L39802,3,130.42
267391,000454,4,223.07
267391,000945,5,84.63
267391,000666,6,170.26
267391,000867,7,101.18
267393,000718,1,373.11
267393,004448,3,155.95
267393,000931,4,60.53
267393,000446,5,217.71
267393,000804,6,233.81
267393,000965,7,136.96
172989,001628,1,478.55
172989,000373,3,127.76
172989,000282,4,80.44
172989,002050,5,255.66
172989,001723,6,172.25
172989,002690,7,76.41
172991,001673,1,93.5
172991,002393,2,279.32
172991,000158,3,457.58
172991,002112,5,261.47
172991,002639,6,123.75
172991,001610,7,54.63
262471,000534,1,559.63
262471,L15649,3,111.09
262471,L21521,4,295.95
262471,L21485,5,470.2
262471,L21487,6,718.7
252203,001628,1,379.71
252203,004070,3,75.62
252203,002836,4,243.45
252203,000531,5,219.72
252203,002625,6,58.69
252203,001002,7,65.58
149709,001628,1,444.86
149709,002836,3,75.62
149709,004070,4,169.53
149709,000531,5,219.72
149709,002625,6,58.69
149709,001002,7,65.58
149711,001628,1,692.14
149711,002696,3,126.08
149711,005741,4,331.48
149711,000373,5,187.68
149711,002700,6,132.37
149711,002693,7,199.24
149713,001628,1,103.98
149713,002625,2,58.69
149713,001002,3,701.84
149713,000158,5,292.19
149715,001673,1,54.63
149715,001610,2,147.02
149715,002393,3,279.32
149715,000158,4,457.58
149715,002112,6,261.47
149715,002639,7,162.86
149717,001673,1,54.63
149717,001610,2,102.58
149717,L24601,3,315.34
149717,000158,4,320.64
149717,002639,6,35.5
149717,L24561,7,145.13
149707,001628,1,432.16
149707,000282,3,127.76
149707,000373,4,175.87
149707,002050,5,255.66
149707,001723,6,172.25
149707,002690,7,76.41
190681,000534,1,433.9
190681,001913,3,348.24
190681,000703,5,909.63
190681,L38049,7,0.0
190681,L38049,8,2233.48
190681,L27685,13,898.09
190681,000531,15,294.34
190681,001628,17,199.24
190681,002693,18,238.99
190683,001673,1,54.63
190683,001610,2,102.58
190683,L24601,3,315.34
190683,000158,4,320.64
190683,002639,6,35.5
190683,L24561,7,145.13
190685,001610,1,102.58
190685,L24601,2,315.34
190685,000158,3,320.64
190685,002639,5,35.5
190685,L24561,6,145.13
190685,001673,7,54.63
190687,000534,1,231.12
190687,CL0405,2,269.6
190687,001913,4,0.0
190687,001913,5,346.61
190687,004668,6,607.96
190689,000534,1,433.9
190689,001913,3,0.0
190689,001913,4,346.61
190689,004668,5,376.95
190689,CL0405,7,231.12
190691,000534,1,678.62
