EXCURSION_ID,SEQ,TITLE,CONTENT
994763,20,Unit Name,Stingray City Sandbar &amp; Beach Break
994763,80,Intro,It&#8217;s easy to see why this trip is often flagged up as Grand Cayman&#8217;s must-do tour. As interactive experiences go it&#8217;s as hands-on as it gets. First off you&#8217;ll depart by boat from the island&#8217;s yacht club and head out over the waves to the shallow Stingray City Sandbar. Here you&#8217;ll have a chance to wade into the glass-clear water &#8211; it&#8217;s only three feet deep at its shallowest point &#8211; and meet the friendly population of southern stingrays who call this stretch of coast home. In fact this place is so densely populated with these graceful creatures that National Geographic filmed a documentary on them here. You&#8217;ll get to swim and snorkel with the rays before boarding the boat again and heading on to Tiki Beach &#8211; a world-famous seven-mile stretch of flour-soft sand and thatched-roof beach bars. Here there&#8217;s plenty of free time to order a cocktail and relax or get to grips with some more watersports before returning to the ship.
994763,85,Intro - ticket booklets,As interactive experiences go this must-do tour is as hands-on as it gets. You&#8217;ll depart by boat from the island&#8217;s yacht club and head out over the waves to the shallow Stingray City Sandbar. Here you&#8217;ll have a chance to wade into the glass-clear water and meet the friendly population of Southern Stingrays who call this place home. You&#8217;ll get to swim snorkel and play with these graceful creatures before boarding the boat again and heading on to Tiki Beach &#8211; a world famous seven-mile stretch of flour-soft sand and thatched-roof bars. Here there&#8217;ll be free time to relax or get to grips with some more watersports.
994763,100,Excursion duration,4.5hrs
994763,118,Maximum Participation,50
994764,20,Unit Name,Turtles &amp; Stingrays Land &amp; Sea Adventure
994764,80,Intro,This half-day tour is a great way to tick off some of Grand Cayman&#8217;s best bits by land and by sea. Your trip starts with an air-conditioned coach drive along the island&#8217;s good-looking Seven Mile Beach. We&#8217;ll put the brakes on outside the Governor&#8217;s Residence home to the island&#8217;s leader for a quick photo stop. Next on the agenda is Grand Cayman&#8217;s number one land-based attraction the Turtle Farm. Don&#8217;t forget to visit the turtle nursery to see some just-hatched creatures. Then it&#8217;s on to the Hell Rock Formation &#8211; a rugged black limestone stretch of rocks about the same size as a football field. You can even send a postcard home from here stamped &#8216;from HELL&#8217;. Finally you&#8217;ll head to the island&#8217;s yacht club where a snorkel boat will be waiting to take you to the shallow Stingray City Sandbar. Here you&#8217;ll be able to wade into the water to meet the friendly Southern Stingrays close up.
994764,85,Intro - ticket booklets,This one starts with a drive along the island&#8217;s good-looking Seven Mile Beach. We&#8217;ll put the brakes on outside the Governor&#8217;s Residence home to the island&#8217;s leader for a quick photo stop. Next on the agenda is the popular Turtle Farm. Don&#8217;t forget to visit the turtle nursery to see some just-hatched creatures. Then it&#8217;s on to the Hell Rock Formation &#8211; a rugged black limestone stretch of rocks about the same size as a football field. Finally you&#8217;ll take a snorkel boat to the shallow Stingray City Sandbar and meet the friendly Southern Stingrays close up.
994764,100,Excursion duration,4hrs
994765,20,Unit Name,Stingray City &amp; Barrier Reef Two-Stop Snorkel
