EXCURSION_ID,SEQ,CAPTION,URL
994763,1,,https://media.thomson.co.uk/asset/lpp/v01/151/648.jpg
994763,2,,https://media.thomson.co.uk/asset/lpp/v01/151/722.jpg
994763,3,,https://media.thomson.co.uk/asset/lpp/v01/151/650.jpg
994763,4,,https://media.thomson.co.uk/asset/lpp/v01/151/728.jpg
994763,5,,https://media.thomson.co.uk/asset/lpp/v01/151/720.jpg
994763,6,,https://media.thomson.co.uk/asset/lpp/v01/151/726.jpg
994764,1,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/776/368.jpg
994765,1,,https://media.thomson.co.uk/asset/lpp/v01/083/570.jpg
994765,2,,https://media.thomson.co.uk/asset/lpp/v01/083/572.jpg
994765,3,,https://media.thomson.co.uk/asset/lpp/v01/083/574.jpg
994766,1,,https://media.thomson.co.uk/asset/lpp/v01/083/255.jpg
994766,2,,https://media.thomson.co.uk/asset/lpp/v01/083/261.jpg
994766,3,Botanical Garden George Town Cayman Islands,https://media.thomson.co.uk/asset/lpp/v01/031/967.jpg
994766,4,,https://media.thomson.co.uk/asset/lpp/v01/083/257.jpg
994766,5,,https://media.thomson.co.uk/asset/lpp/v01/083/259.jpg
994767,1,,https://media.thomson.co.uk/asset/lpp/v00/893/710.jpg
994767,2,,https://media.thomson.co.uk/asset/lpp/v00/893/714.jpg
994767,3,,https://media.thomson.co.uk/asset/lpp/v00/893/718.jpg
994767,4,,https://media.thomson.co.uk/asset/lpp/v00/893/704.jpg
994768,1,,https://media.thomson.co.uk/asset/lpp/v01/083/227.jpg
994768,2,,https://media.thomson.co.uk/asset/lpp/v00/893/720.jpg
994769,1,,https://media.thomson.co.uk/asset/lpp/v01/031/965.jpg
994770,1,,https://media.thomson.co.uk/asset/lpp/v00/893/708.jpg
994771,1,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/725/444.jpg
994772,1,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/957/757.jpg
987316,1,Seven mile beach Georgetown,https://media.thomson.co.uk/asset/lpp/v01/031/965.jpg
987316,2,,https://media.thomson.co.uk/asset/lpp/v01/022/978.jpg
987316,3,,https://media.thomson.co.uk/asset/lpp/v01/022/976.jpg
987604,1,,https://media.thomson.co.uk/asset/lpp/v00/892/565.jpg
987604,2,,https://media.thomson.co.uk/asset/lpp/v00/892/575.jpg
987605,1,Seven mile beach on Grand Cayman,https://media.thomson.co.uk/asset/lpp/v01/072/615.jpg
987605,2,Cayman Island shipwreck,https://media.thomson.co.uk/asset/lpp/v01/072/613.jpg
987605,3,,https://media.thomson.co.uk/asset/lpp/v01/083/576.jpg
987605,4,,https://media.thomson.co.uk/asset/lpp/v01/072/593.jpg
975197,1,,https://media.thomson.co.uk/asset/lpp/v01/151/648.jpg
975197,2,,https://media.thomson.co.uk/asset/lpp/v01/151/722.jpg
975197,3,,https://media.thomson.co.uk/asset/lpp/v01/151/650.jpg
975197,4,,https://media.thomson.co.uk/asset/lpp/v01/151/728.jpg
995927,1,St Peters Riga Latvia,https://media.thomson.co.uk/asset/lpp/v00/932/544.jpg
995927,2,,https://media.thomson.co.uk/asset/lpp/v01/049/560.jpg
995927,3,,https://media.thomson.co.uk/asset/lpp/v01/049/558.jpg
996020,1,,https://media.thomson.co.uk/asset/lpp/v01/049/353.jpg
996020,2,,https://media.thomson.co.uk/asset/lpp/v01/049/349.jpg
996020,3,Opera House Riga Latvia,https://media.thomson.co.uk/asset/lpp/v01/049/355.jpg
996020,4,,https://media.thomson.co.uk/asset/lpp/v00/932/216.jpg
996020,5,,https://media.thomson.co.uk/asset/lpp/v01/049/351.jpg
996021,1,Open air museum Riga Latvia,https://media.thomson.co.uk/asset/lpp/v01/049/345.jpg
996021,2,Riga Latvia,https://media.thomson.co.uk/asset/lpp/v00/932/216.jpg
986331,1,,https://media.thomson.co.uk/asset/lpp/v01/065/756.jpg
986331,2,,https://media.thomson.co.uk/asset/lpp/v01/065/746.jpg
986331,3,National Opera House Riga,https://media.thomson.co.uk/asset/lpp/v01/065/750.jpg
986331,4,,https://media.thomson.co.uk/asset/lpp/v01/065/752.jpg
986331,5,Monument of Freedom Riga,https://media.thomson.co.uk/asset/lpp/v01/065/748.jpg
986332,1,,https://media.thomson.co.uk/asset/lpp/v01/049/347.jpg
986332,2,Riga Lativa,https://media.thomson.co.uk/asset/lpp/v00/932/216.jpg
986332,3,Dome Cathedral Riga Latvia,https://media.thomson.co.uk/asset/lpp/v00/931/590.jpg
986332,4,St Peters Tower Riga Lativa,https://media.thomson.co.uk/asset/lpp/v00/932/544.jpg
989279,1,Riga Castle Latvia,https://media.thomson.co.uk/asset/lpp/v01/049/560.jpg
989279,2,Riga Latvia,https://media.thomson.co.uk/asset/lpp/v00/932/216.jpg
989279,3,Riga Castle Latvia,https://media.thomson.co.uk/asset/lpp/v01/031/813.jpg
989279,4,St Peters Church Riga Latvia,https://media.thomson.co.uk/asset/lpp/v00/932/544.jpg
982166,1,Riga Latvia,https://media.thomson.co.uk/asset/lpp/v00/932/216.jpg
982166,2,Riga Opera House Latvia,https://media.thomson.co.uk/asset/lpp/v01/049/277.jpg
982166,3,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/988/953.jpg
983133,1,Ibiza Town Ibiza,https://media.thomson.co.uk/asset/lpp/v01/087/112.jpg
983133,2,,https://media.thomson.co.uk/asset/lpp/v01/050/332.jpg
983133,3,Ibiza Town Ibiza,https://media.thomson.co.uk/asset/lpp/v01/087/122.jpg
983133,4,Playa den Bossa Ibiza,https://media.thomson.co.uk/asset/lpp/v01/087/090.jpg
991366,1,,https://media.thomson.co.uk/asset/lpp/v00/521/926.jpg
991499,1,Santa Eulalia Ibiza,https://media.thomson.co.uk/asset/lpp/v00/750/710.jpg
991499,2,Santa Eulalia Ibiza,https://media.thomson.co.uk/asset/lpp/v01/087/060.jpg
991499,3,San Carlos Ibiza,https://media.thomson.co.uk/asset/lpp/v01/153/216.jpg
992493,1,,https://media.thomson.co.uk/asset/lpp/v01/087/090.jpg
992493,2,,https://media.thomson.co.uk/asset/lpp/v01/087/148.jpg
992493,3,,https://media.thomson.co.uk/asset/lpp/v01/087/154.jpg
992932,1,,https://media.thomson.co.uk/asset/lpp/v00/750/726.jpg
970723,1,Santa Eulalia Ibiza,https://media.thomson.co.uk/asset/lpp/v01/087/070.jpg
970723,2,Santa Eulalia Ibiza,https://media.thomson.co.uk/asset/lpp/v01/087/064.jpg
970723,3,Puig de Missa Santa Eulalia Ibiza,https://media.thomson.co.uk/asset/lpp/v00/802/863.jpg
970723,4,San Antonio Ibiza,https://media.thomson.co.uk/asset/lpp/v01/161/362.jpg
970723,5,Church San Jose Ibiza,https://media.thomson.co.uk/asset/lpp/v01/132/063.jpg
970723,6,San Jose Ibiza,https://media.thomson.co.uk/asset/lpp/v01/186/045.jpg
970723,7,Las Salinas salt flats Ibiza,https://media.thomson.co.uk/asset/lpp/v00/994/133.jpg
970723,8,Las Salinas salt flats Ibiza,https://media.thomson.co.uk/asset/lpp/v01/108/208.jpg
970724,1,,https://media.thomson.co.uk/asset/lpp/v00/899/658.jpg
970724,2,,https://media.thomson.co.uk/asset/lpp/v00/899/652.jpg
970724,3,,https://media.thomson.co.uk/asset/lpp/v00/821/190.jpg
974983,1,,https://media.thomson.co.uk/asset/lpp/v01/302/166.jpg
974984,1,,https://media.thomson.co.uk/asset/lpp/v01/022/338.jpg
974985,1,Illustrative Purposes,https://media.thomson.co.uk/asset/lpp/v01/023/216.jpg
974986,1,Illustrative Purposes,https://media.thomson.co.uk/asset/lpp/v01/028/610.jpg
974987,1,,https://media.thomson.co.uk/asset/lpp/v01/031/885.jpg
974988,1,,https://media.thomson.co.uk/asset/lpp/v01/022/284.jpg
974988,2,,https://media.thomson.co.uk/asset/lpp/v01/302/168.jpg
975126,1,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v01/199/916.jpg
994283,1,,https://media.thomson.co.uk/asset/lpp/v00/887/571.jpg
994283,2,,https://media.thomson.co.uk/asset/lpp/v00/887/581.jpg
994741,1,,https://media.thomson.co.uk/asset/lpp/v00/366/741.jpg
994741,2,Lord Nelson statue Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/749.jpg
994741,3,Parliament buildings Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/741.jpg
994742,1,,https://media.thomson.co.uk/asset/lpp/v00/405/130.jpg
994742,2,,https://media.thomson.co.uk/asset/lpp/v00/892/555.jpg
994742,3,,https://media.thomson.co.uk/asset/lpp/v00/892/557.jpg
994742,4,Bathsheba Barbados,https://media.thomson.co.uk/asset/lpp/v00/984/122.jpg
994743,1,,https://media.thomson.co.uk/asset/lpp/v00/892/563.jpg
994743,2,,https://media.thomson.co.uk/asset/lpp/v00/892/559.jpg
994743,3,,https://media.thomson.co.uk/asset/lpp/v00/892/551.jpg
994743,4,,https://media.thomson.co.uk/asset/lpp/v00/892/549.jpg
994744,1,,https://media.thomson.co.uk/asset/lpp/v00/303/070.jpg
999038,1,,https://media.thomson.co.uk/asset/lpp/v00/982/599.jpg
999038,2,,https://media.thomson.co.uk/asset/lpp/v00/982/597.jpg
999038,3,,https://media.thomson.co.uk/asset/lpp/v00/982/593.jpg
999059,1,Orchid World Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/721.jpg
999059,2,Orchid World Barbados - image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/801/986.jpg
999059,3,Sunbury House Barbados,https://media.thomson.co.uk/asset/lpp/v00/892/563.jpg
986358,1,,https://media.thomson.co.uk/asset/lpp/v01/050/738.jpg
986358,2,,https://media.thomson.co.uk/asset/lpp/v01/071/378.jpg
986358,3,,https://media.thomson.co.uk/asset/lpp/v01/050/736.jpg
986359,1,,https://media.thomson.co.uk/asset/lpp/v01/050/268.jpg
986359,2,,https://media.thomson.co.uk/asset/lpp/v01/050/264.jpg
986359,3,,https://media.thomson.co.uk/asset/lpp/v01/050/270.jpg
986359,4,,https://media.thomson.co.uk/asset/lpp/v01/050/262.jpg
986359,5,,https://media.thomson.co.uk/asset/lpp/v01/050/266.jpg
991864,1,,https://media.thomson.co.uk/asset/lpp/v00/831/739.jpg
991864,2,,https://media.thomson.co.uk/asset/lpp/v00/831/723.jpg
991864,3,,https://media.thomson.co.uk/asset/lpp/v00/831/727.jpg
991864,4,,https://media.thomson.co.uk/asset/lpp/v00/831/729.jpg
991864,5,,https://media.thomson.co.uk/asset/lpp/v00/831/687.jpg
991874,1,,https://media.thomson.co.uk/asset/lpp/v00/892/565.jpg
991874,2,,https://media.thomson.co.uk/asset/lpp/v00/831/701.jpg
991874,3,,https://media.thomson.co.uk/asset/lpp/v00/892/573.jpg
991874,4,,https://media.thomson.co.uk/asset/lpp/v01/071/685.jpg
991874,5,,https://media.thomson.co.uk/asset/lpp/v01/071/376.jpg
991874,6,,https://media.thomson.co.uk/asset/lpp/v00/892/575.jpg
991874,7,,https://media.thomson.co.uk/asset/lpp/v00/892/605.jpg
991875,1,Bathsheba Barbados,https://media.thomson.co.uk/asset/lpp/v00/887/585.jpg
991875,2,Highland Outdoor Barbados,https://media.thomson.co.uk/asset/lpp/v00/887/583.jpg
991875,3,St Johns Church  East Coast Barbados,https://media.thomson.co.uk/asset/lpp/v00/887/587.jpg
991875,4,Bathsheba,https://media.thomson.co.uk/asset/lpp/v00/984/124.jpg
991889,1,,https://media.thomson.co.uk/asset/lpp/v00/887/545.jpg
991889,2,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v01/042/264.jpg
991889,3,,https://media.thomson.co.uk/asset/lpp/v00/887/537.jpg
991903,1,,https://media.thomson.co.uk/asset/lpp/v00/405/124.jpg
991903,2,,https://media.thomson.co.uk/asset/lpp/v00/887/573.jpg
989409,1,Dover Beach Barbados,https://media.thomson.co.uk/asset/lpp/v01/124/408.jpg
989409,2,,https://media.thomson.co.uk/asset/lpp/v01/124/400.jpg
989409,3,Nelsons statue Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/755.jpg
989409,4,Pebbles Beach Barbados,https://media.thomson.co.uk/asset/lpp/v01/124/410.jpg
989409,5,Nelsons statue Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/743.jpg
989409,6,Parliament building Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/741.jpg
972475,1,,https://media.thomson.co.uk/asset/lpp/v00/850/842.jpg
972475,2,,https://media.thomson.co.uk/asset/lpp/v01/095/934.jpg
970149,1,Bathsheba Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/086.jpg
970149,2,Bathsheba Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/084.jpg
970149,3,Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/114.jpg
970149,4,Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/112.jpg
987285,1,,https://media.thomson.co.uk/asset/lpp/v00/533/499.jpg
