ITINERARY_ID,SEQ,CAPTION,URL
267385,1,Rome, Italy,https://media.thomson.co.uk/asset/lpp/v00/617/863.jpg
267385,2,,https://media.thomson.co.uk/asset/lpp/v00/983/315.jpg
267385,3,Mount Etna, Sicily,https://media.thomson.co.uk/asset/lpp/v01/191/121.jpg
267387,1,Venice, Italy,https://media.thomson.co.uk/asset/lpp/v01/121/571.jpg
267387,2,Dubvrovnik, Croatia,https://media.thomson.co.uk/asset/lpp/v01/096/374.jpg
267387,3,Kotor, Montenegro,https://media.thomson.co.uk/asset/lpp/v01/114/591.jpg
267389,1,Thira, Santorini,https://media.thomson.co.uk/asset/lpp/v01/102/461.jpg
267389,2,Mykonos Town, Mykonos,https://media.thomson.co.uk/asset/lpp/v00/767/934.jpg
267389,3,Olympia, Greece,https://media.thomson.co.uk/asset/lpp/v01/100/453.jpg
267391,1,Ephesus, Turkey,https://media.thomson.co.uk/asset/lpp/v00/618/137.jpg
267391,2,Skiathos Town, Skiathos,https://media.thomson.co.uk/asset/lpp/v01/191/704.jpg
267391,3,Argostoli, Kefalonia,https://media.thomson.co.uk/asset/lpp/v01/213/389.jpg
267393,1,Rhodes Town, Rhodes,https://media.thomson.co.uk/asset/lpp/v01/198/166.jpg
267393,2,Chania, Crete,https://media.thomson.co.uk/asset/lpp/v01/025/471.jpg
267393,3,Zakynthos Town, Zakynthos,https://media.thomson.co.uk/asset/lpp/v00/724/996.jpg
262471,1,Puerto Limon, Costa Rica,https://media.thomson.co.uk/asset/lpp/v01/107/525.jpg
262471,2,Colon, Panama,https://media.thomson.co.uk/asset/lpp/v01/094/300.jpg
262471,3,Cartagena, Colombia,https://media.thomson.co.uk/asset/lpp/v01/125/719.jpg
190681,1,Nassau, Bahamas,https://media.thomson.co.uk/asset/lpp/v01/301/806.jpg
190681,2,Havana, Cuba,https://media.thomson.co.uk/asset/lpp/v01/265/342.jpg
190681,3,Lisbon, Portugal,https://media.thomson.co.uk/asset/lpp/v01/017/265.jpg
190685,1,San Sebastian, La Gomera,https://media.thomson.co.uk/asset/lpp/v01/076/837.jpg
190685,2,Arrecife, Lanzarote,https://media.thomson.co.uk/asset/lpp/v01/121/887.jpg
190685,3,Santa Cruz, Tenerife,https://media.thomson.co.uk/asset/lpp/v00/915/461.jpg
190687,1,Havana, Cuba,https://media.thomson.co.uk/asset/lpp/v01/255/611.jpg
190687,2,Cozumel, Mexico,https://media.thomson.co.uk/asset/lpp/v01/095/646.jpg
190687,3,Montego Bay, Jamaica,https://media.thomson.co.uk/asset/lpp/v01/121/449.jpg
190689,1,Havana, Cuba,https://media.thomson.co.uk/asset/lpp/v01/249/591.jpg
190689,2,Cozumel, Mexico,https://media.thomson.co.uk/asset/lpp/v00/862/004.jpg
190689,3,Montego Bay, Jamaica,https://media.thomson.co.uk/asset/lpp/v00/504/006.jpg
190691,1,Roatan, Honduras,https://media.thomson.co.uk/asset/lpp/v01/098/358.jpg
190691,2,Trujillo, Honduras,https://media.thomson.co.uk/asset/lpp/v01/168/240.jpg
190691,3,Montego Bay, Jamaica,https://media.thomson.co.uk/asset/lpp/v00/511/294.jpg
190693,1,Puerto Limon, Costa Rica,https://media.thomson.co.uk/asset/lpp/v01/107/525.jpg
190693,2,Colon, Panama,https://media.thomson.co.uk/asset/lpp/v01/094/300.jpg
190693,3,Cartagena, Colombia,https://media.thomson.co.uk/asset/lpp/v01/103/197.jpg
190695,1,Las Palmas, Gran Canaria,https://media.thomson.co.uk/asset/lpp/v01/059/205.jpg
190695,2,Mindelo, Cape Verde,https://media.thomson.co.uk/asset/lpp/v01/185/072.jpg
190695,3,Colon, Panama,https://media.thomson.co.uk/asset/lpp/v01/099/644.jpg
190697,1,Mindelo, Cape Verde,https://media.thomson.co.uk/asset/lpp/v01/173/437.jpg
190697,2,Bridgetown, Barbados,https://media.thomson.co.uk/asset/lpp/v01/178/058.jpg
190697,3,Oranjested, Aruba,https://media.thomson.co.uk/asset/lpp/v00/740/958.jpg
301055,1,Havana, Cuba,https://media.thomson.co.uk/asset/lpp/v01/249/591.jpg
301055,2,Cozumel, Mexico,https://media.thomson.co.uk/asset/lpp/v00/862/004.jpg
301055,3,Montego Bay, Jamaica,https://media.thomson.co.uk/asset/lpp/v00/504/006.jpg
301059,1,Havana, Cuba,https://media.thomson.co.uk/asset/lpp/v01/249/591.jpg
301059,2,Cozumel, Mexico,https://media.thomson.co.uk/asset/lpp/v00/862/004.jpg
