PORT_ID,SEQ,TITLE,CONTENT
CL0405,90,Location name,Georgetown
CL0405,2250,Intro - CRU,The best bits of the Cayman Islands are condensed around Georgetown. As you might expect from the capital of an island chain the city is well stocked with snorkelling and scuba shops Caribbean restaurants and rum bars. But the jewel in Georgetown&#8217;s crown lies a few miles down the coast &#8211; Seven Mile Beach is arguably one of the best stretches of sand in the Caribbean. And because it&#8217;s not privately owned you can walk from one end to the next completely freely.<br /><br />&#8226; Close encounters with stingrays are one of the highlights of a visit to Georgetown. You can take a catamaran from the harbour and head out to the stingray sandbar where you can swim with the rays and even pet them.<br />&#8226; Get a fish-eye view of Grand Caymans marine park. The Atlantis Submarine dives to a depth of 100 foot so you can get close to the moray eels and grouper fish without getting wet.<br />&#8226; Catalogue the native flora and fauna of the Cayman Islands at the Queen Elizabeth Botanical Gardens. The park is home to 26 different types of native orchids as well as lakes woodlands and butterfly habitat.
002266,90,Location name,Riga
002266,2250,Intro - CRU,If we were asked to come up with the hottest buzzword in travel Riga would definitely make the shortlist. The cat&#8217;s creeping out of the bag as far as Latvia&#8217;s capital&#8217;s concerned. And when you see it for yourself you&#8217;ll probably wonder why it&#8217;s taken so long. If it looks familiar it&#8217;s probably because it&#8217;s got a Prague-esque feel to it. We&#8217;re talking winding cobbled streets miniature candlelit bars and grand pastel-painted mansions &#8211; all beneath a skyline of turrets and steeples.<br /><br />&#8226; Hit the cobbles in the Medieval old town Vecriga. With its soaring spires the Dome Cathedral is the biggest church in the Baltic. The centrepiece of that fairytale skyline meanwhile is the Gothic church of St Peter&#8217;s. Its spire is famous in Latvia &#8211; it&#8217;s actually the third one with the previous two both burnt to a cinder. Climb to the observation platform at the top and claim your prize in the form of fabulous panoramic views.<br />&#8226; Don&#8217;t miss the Central Market the city&#8217;s chattering hub. Its 13th-century birthdate makes it one of the oldest in Europe and with room for up to 1250 traders it can get pretty noisy. It&#8217;s the place to buy anything and everything from DVDs to fresh fruit.<br />&#8226; Nowhere in Europe serves up better Art Nouveau swirls than Riga. The best examples are along Elizabetes and Alberta iela north of the old town.
002050,90,Location name,Ibiza Town
002050,2250,Intro - CRU,Ibiza&#8217;s capital is the antidote to wild resorts like San Antonio and Playa D&#8217;en Bossa. Its old quarter has earned a place on the UNESCO World Heritage list and it&#8217;s haloed by Medieval stone walls and topped by a fairytale-looking fortress. Down on the waterfront meanwhile you&#8217;ll find chic seafood restaurants and one-off boutiques.<br /><br />&#8226; Take a stroll past tiny houses to the Medieval old town. Here a hilltop castle peers out over the red-tiled cupolas of the Santo Domingo church. UNESCO didn&#8217;t give this town World Heritage Site status for nothing you know. <br />&#8226; Ready to relax? Then pick a patch of sand gilding the island&#8217;s edge and settle yourself down for a snooze in the sun.
002101,90,Location name,Koh Samui
002101,2250,Intro - CRU,Koh Samui is Thailand&#8217;s second-biggest island behind Phuket. But it&#8217;s the one with the most beaches &#8211; and they&#8217;re jaw-dropping ones at that. Meringue-coloured sands sit in between calm blue-green waters and swaying palms. And luxe five-star resorts take pride of place along the shoreline. Away from the coast it&#8217;s an island of bamboo villages jungle adventures and tucked-away temples. You can hike to purple-tinted waterfalls or take a 4x4 trip up to a mountain viewpoint.<ul><li>Get your dose of pad thai from one of the street food stalls at Bophut&#8217;s Fisherman&#8217;s Village. You can finish up with some coconut ice-cream for dessert.</li><li>Sip fresh coconuts on Chaweng Beach &#8211; the island&#8217;s longest and most popular swathe. Its sugar-white sands are buzzing with restaurants bars and massage stands.</li><li>Stare up at a 12-metre-tall Big Buddha statue. It sits within the grounds of the hilltop Wat Phra Yai on the tiny islet of Koh Faan.</li></ul>
000719,90,Location name,Bridgetown
000719,2250,Intro - CRU,A hypnotic calypso isle Barbados is the ultimate Caribbean dream. And at just 21 miles by 14 miles the island really is your oyster. Of course it&#8217;s most famous for its palm-fringed beaches but there&#8217;s more than talcum powder sands here. We&#8217;re talking a duty-free shopping scene and sights that are second to none. In a coconut shell it&#8217;s the small island with a big fan base.<br /><br />&#8226; Take a tram ride through a labyrinth of underground caverns at Harrison&#8217;s Cave in St Thomas. A natural phenomenon that has to be seen to be believed it&#8217;s all sparkling streams playful waterfalls and stalactites and stalagmites that shimmer in shady tunnels.<br />&#8226; Go snorkelling in search of hawksbill and green turtles. Once endangered because of over-fishing these creatures are now protected and monitored throughout the island.<br />&#8226; Take it easy on Carlisle Beach one of the island&#8217;s best stretches of sand. Or if you&#8217;re feeling energetic slip on a pair of flippers and propel your way past the underwater shipwrecks just off the shore.<br />&#8226; The Atlantis Submarine lets you scuba dive without getting wet. As this underwater ship descends into the ocean you can look out the portholes for tropical fish and sea turtles.
