ITINERARY_ID,PORT_ID,DAY,TIME_IN_PORT,TIME_OUT_PORT,TENDER
267385,000282,1,,23:00,N
267385,,2,,,N
267385,000654,3,07:00,19:00,N
267385,001629,4,08:00,18:00,N
267385,002627,5,08:00,18:00,N
267385,L44069,6,09:00,18:00,N
267385,000718,7,06:00,,N
267387,000718,1,,23:00,N
267387,,2,,,N
267387,CMS022,3,07:00,23:00,N
267387,000655,4,08:00,18:00,N
267387,002636,5,08:00,18:00,N
267387,000465,6,08:00,23:00,N
267387,L00203,7,08:00,17:00,N
267387,000718,8,07:00,,N
267389,000718,1,,23:00,N
267389,,2,,,N
267389,004448,3,07:00,19:00,Y
267389,001636,4,08:00,18:00,N
267389,002166,5,08:00,18:00,Y
267389,000666,6,08:00,18:00,N
267389,002637,7,09:00,18:00,N
267389,000718,8,07:00,,N
267391,000718,1,,23:00,N
267391,,2,,,N
267391,L39802,3,07:00,18:00,Y
267391,000454,4,08:00,18:00,N
267391,000945,5,08:00,18:00,Y
267391,000666,6,08:00,17:00,N
267391,000867,7,10:00,18:00,N
267391,000718,8,07:00,,N
267393,000718,1,,23:00,N
267393,,2,,,N
267393,004448,3,07:00,18:00,N
267393,000931,4,08:00,22:00,N
267393,000446,5,08:00,17:00,N
267393,000804,6,08:00,18:00,N
267393,000965,7,08:00,18:00,N
267393,000718,8,07:00,,N
172989,,2,,,N
172989,000373,3,08:00,18:00,N
172989,000282,4,08:00,19:00,N
172989,002050,5,08:00,17:00,N
172989,001723,6,09:00,18:00,N
172989,002690,7,09:00,19:00,N
172989,001628,8,06:00,,N
172989,001628,1,,22:00,N
172991,001673,1,,23:59,N
172991,002393,2,08:00,16:00,N
172991,000158,3,08:00,20:00,N
172991,,4,,,N
172991,002112,5,08:00,17:00,N
172991,002639,6,08:00,23:00,N
172991,001610,7,08:00,23:00,N
172991,001673,8,06:00,,N
262471,000534,1,,20:00,N
262471,,2,,,N
262471,L15649,3,08:00,18:00,N
262471,L21521,4,07:00,17:00,N
262471,L21485,5,09:00,19:00,N
262471,L21487,6,08:00,18:00,N
262471,,7,,,N
262471,000534,8,08:00,,N
252203,,2,,,N
252203,004070,3,09:00,18:00,N
252203,002836,4,08:00,18:00,N
252203,000531,5,08:00,17:00,N
252203,002625,6,10:00,19:00,N
252203,001002,7,08:00,18:00,N
252203,001628,8,06:00,,N
252203,001628,1,,06:00,N
149709,001628,1,,22:00,N
149709,,2,,,N
149709,002836,3,08:00,18:00,N
149709,004070,4,09:00,18:00,N
149709,000531,5,08:00,17:00,N
149709,002625,6,10:00,19:00,N
149709,001002,7,08:00,18:00,N
149709,001628,8,06:00,,N
149711,001628,1,,22:00,N
149711,,2,,,N
149711,002696,3,10:00,18:00,N
149711,005741,4,07:00,17:00,Y
149711,000373,5,10:00,18:00,N
149711,002700,6,08:00,18:00,N
149711,002693,7,08:00,16:00,N
149711,001628,8,06:00,,N
149713,001628,1,,22:00,N
149713,002625,2,09:00,19:00,N
149713,001002,3,08:00,18:00,N
149713,,4,,,N
149713,000158,5,08:00,17:00,N
149713,001673,6,08:00,,N
149715,001673,1,,23:59,N
149715,001610,2,08:00,23:00,N
149715,002393,3,08:00,16:00,N
149715,000158,4,08:00,20:00,N
149715,,5,,,N
149715,002112,6,08:00,17:00,N
149715,002639,7,09:00,18:00,N
149715,001673,8,06:00,,N
149717,001673,1,,23:59,N
149717,001610,2,08:00,23:00,N
149717,L24601,3,08:00,16:00,N
149717,000158,4,08:00,20:00,N
149717,,5,,,N
149717,002639,6,08:00,18:00,N
149717,L24561,7,08:00,18:00,N
149717,001673,8,06:00,,N
149707,,2,,,N
149707,000282,3,08:00,21:00,N
149707,000373,4,08:00,18:00,N
149707,002050,5,08:00,17:00,N
149707,001723,6,09:00,18:00,N
149707,002690,7,09:00,19:00,N
149707,001628,8,06:00,,N
149707,001628,1,,22:00,N
190681,000534,1,,22:00,N
190681,,2,,,Y
190681,001913,3,08:00,23:59,N
190681,,4,,,N
190681,000703,5,08:00,18:00,N
190681,,6,,,N
190681,L38049,7,14:00,23:59,N
190681,L38049,8,00:01,17:00,N
190681,,9,,,N
190681,,10,,,N
190681,,11,,,N
190681,,12,,,N
190681,L27685,13,08:00,16:00,N
190681,,14,,,N
190681,000531,15,10:00,19:00,N
190681,,16,,,N
190681,001628,17,08:00,18:00,N
190681,002693,18,08:00,16:00,N
190681,000282,19,06:00,,N
190683,001610,2,08:00,23:00,N
