ITINERARY_ID,PORT_ID,DAY,DISTANCE
267385,282,,540
267385,654,,117.47
267385,1629,,196.33
267385,2627,,181.45
267385,L44069,,152.92
267387,718,,517.36
267387,CMS022,,68.31
267387,655,,242.69
267387,2636,,100.94
267387,465,,36.24
267387,L00203,,206.34
267389,718,,373.11
267389,4448,,75.63
267389,1636,,145.9
267389,2166,,98.66
267389,666,,124.43
267389,2637,,155.56
267391,718,,310.71
267391,L39802,,130.42
267391,454,,223.07
267391,945,,84.63
267391,666,,170.26
267391,867,,101.18
267393,718,,373.11
267393,4448,,155.95
267393,931,,60.53
267393,446,,217.71
267393,804,,233.81
267393,965,,136.96
172989,1628,,478.55
172989,373,,127.76
172989,282,,80.44
172989,2050,,255.66
172989,1723,,172.25
172989,2690,,76.41
172991,1673,,93.5
172991,2393,,279.32
172991,158,,457.58
172991,2112,,261.47
172991,2639,,123.75
172991,1610,,54.63
262471,534,,559.63
262471,L15649,,111.09
262471,L21521,,295.95
262471,L21485,,470.2
262471,L21487,,718.7
252203,1628,,379.71
252203,4070,,75.62
252203,2836,,243.45
252203,531,,219.72
252203,2625,,58.69
252203,1002,,65.58
149709,1628,,444.86
149709,2836,,75.62
149709,4070,,169.53
149709,531,,219.72
149709,2625,,58.69
149709,1002,,65.58
149711,1628,,692.14
149711,2696,,126.08
149711,5741,,331.48
149711,373,,187.68
149711,2700,,132.37
149711,2693,,199.24
149713,1628,,103.98
149713,2625,,58.69
149713,1002,,701.84
149713,158,,292.19
149715,1673,,54.63
149715,1610,,147.02
149715,2393,,279.32
149715,158,,457.58
149715,2112,,261.47
149715,2639,,162.86
149717,1673,,54.63
149717,1610,,102.58
149717,L24601,,315.34
149717,158,,320.64
149717,2639,,35.5
149717,L24561,,145.13
149707,1628,,432.16
149707,282,,127.76
149707,373,,175.87
149707,2050,,255.66
149707,1723,,172.25
149707,2690,,76.41
190681,534,,433.9
190681,1913,,348.24
190681,703,,909.63
190681,L38049,,0
190681,L38049,,2233.48
190681,L27685,,898.09
190681,531,,294.34
190681,1628,,199.24
190681,2693,,238.99
190683,1673,,54.63
190683,1610,,102.58
190683,L24601,,315.34
190683,158,,320.64
190683,2639,,35.5
190683,L24561,,145.13
190685,1610,,102.58
190685,L24601,,315.34
190685,158,,320.64
190685,2639,,35.5
190685,L24561,,145.13
190685,1673,,54.63
190687,534,,231.12
190687,CL0405,,269.6
190687,1913,,0
190687,1913,,346.61
190687,4668,,607.96
190689,534,,433.9
190689,1913,,0
190689,1913,,346.61
190689,4668,,376.95
190689,CL0405,,231.12
190691,534,,678.62
190691,4404,,128.29
190691,L46052,,143.73
190691,L15647,,49.21
190691,L38042,,559.32
190693,534,,718.7
190693,L21487,,470.2
190693,L21485,,295.95
190693,L21521,,111.09
190693,L15649,,559.63
190695,1673,,54.63
190695,1610,,988.43
190695,L38041,,2323.65
190695,719,,165.96
190695,2049,,440.43
190695,L27691,,120.54
190695,1984,,81.53
190695,L15621,,760.98
190695,L21485,,295.95
190695,L21521,,579.3
190697,1610,,988.43
190697,L38041,,2323.65
190697,719,,165.96
190697,2049,,440.43
190697,L27691,,120.54
190697,1984,,81.53
190697,L15621,,760.98
190697,L21485,,295.95
190697,L21521,,579.3
301055,534,,433.9
301055,1913,,0
301055,1913,,346.61
301055,4668,,376.95
301055,CL0405,,231.12
301059,534,,433.9
301059,1913,,0
301059,1913,,346.61
301059,4668,,376.95
301059,CL0405,,231.12
301139,1673,,93.5
301139,2393,,279.32
301139,158,,457.58
301139,2112,,261.47
301139,2639,,123.75
301139,1610,,54.63
258497,1628,,432.16
258497,282,,127.76
258497,373,,175.87
258497,2050,,255.66
258497,1723,,172.25
258497,2690,,76.41
258507,1628,,444.86
258507,2836,,75.62
258507,4070,,169.53
258507,531,,219.72
258507,2625,,58.69
258507,1002,,65.58
258517,1628,,692.14
258517,2696,,126.08
258517,5741,,331.48
258517,373,,187.68
258517,2700,,132.37
258517,2693,,199.24
307211,1673,,54.63
307211,1610,,102.58
307211,L24601,,315.34
307211,158,,320.64
307211,2639,,35.5
307211,L24561,,145.13
307217,1610,,102.58
307217,L24601,,315.34
307217,158,,320.64
307217,2639,,35.5
307217,L24561,,145.13
307217,1673,,54.63
307223,534,,231.12
307223,CL0405,,269.6
307223,1913,,0
307223,1913,,346.61
307223,4668,,607.96
307229,534,,678.62
307229,4404,,128.29
307229,L46052,,143.73
307229,L15647,,49.21
307229,L38042,,559.32
307235,534,,718.7
307235,L21487,,470.2
307235,L21485,,295.95
307235,L21521,,111.09
307235,L15649,,559.63
307265,1673,,54.63
307265,1610,,988.43
307265,L38041,,2323.65
307265,719,,165.96
307265,2049,,440.43
307265,L27691,,120.54
307265,1984,,81.53
307265,L15621,,760.98
307265,L21485,,295.95
307265,L21521,,579.3
307271,1610,,988.43
307271,L38041,,2323.65
307271,719,,165.96
307271,2049,,440.43
307271,L27691,,42.09
307271,L15621,,81.53
307271,1984,,401.56
307271,L21521,,295.95
307271,L21485,,656.08
307277,534,,433.9
307277,1913,,348.24
307277,703,,909.63
307277,L38049,,0
307277,L38049,,2233.48
307277,L27685,,898.09
307277,531,,294.34
307277,1628,,199.24
307277,2693,,238.99
299599,1610,,102.58
299599,L24601,,315.34
299599,158,,320.64
299599,2639,,35.5
299599,L24561,,145.13
299599,1673,,54.63
299605,1610,,102.58
299605,L24601,,315.34
299605,158,,320.64
299605,2639,,35.5
299605,L24561,,145.13
299605,1673,,54.63
299609,534,,231.12
299609,CL0405,,269.6
299609,1913,,0
299609,1913,,346.61
299609,4668,,607.96
299615,534,,231.12
299615,CL0405,,269.6
299615,1913,,0
299615,1913,,346.61
299615,4668,,607.96
299619,534,,678.62
299619,4404,,128.29
299619,L46052,,143.73
299619,L15647,,49.21
299619,L38042,,559.32
299625,534,,678.62
299625,4404,,128.29
299625,L46052,,143.73
299625,L15647,,49.21
299625,L38042,,559.32
299629,534,,718.7
299629,L21487,,470.2
299629,L21485,,295.95
299629,L21521,,111.09
299629,L15649,,559.63
299635,534,,718.7
299635,L21487,,470.2
299635,L21485,,295.95
299635,L21521,,111.09
299635,L15649,,559.63
299679,1673,,54.63
299679,1610,,988.43
299679,L38041,,2323.65
299679,719,,165.96
299679,2049,,440.43
299679,L27691,,120.54
299679,1984,,81.53
299679,L15621,,760.98
299679,L21485,,295.95
299679,L21521,,579.3
299685,1673,,54.63
299685,1610,,988.43
299685,L38041,,2323.65
299685,719,,165.96
299685,2049,,440.43
299685,L27691,,120.54
299685,1984,,81.53
299685,L15621,,760.98
299685,L21485,,295.95
299685,L21521,,579.3
300133,1628,,432.16
300133,282,,127.76
300133,373,,175.87
300133,2050,,255.66
300133,1723,,172.25
300133,2690,,76.41
300139,1628,,432.16
300139,282,,127.76
300139,373,,175.87
300139,2050,,255.66
300139,1723,,172.25
300139,2690,,76.41
300145,1628,,444.86
300145,2836,,75.62
300145,4070,,169.53
300145,531,,219.72
300145,2625,,58.69
300145,1002,,65.58
300151,1628,,444.86
300151,2836,,75.62
300151,4070,,169.53
300151,531,,219.72
300151,2625,,58.69
300151,1002,,65.58
300157,1628,,692.14
300157,2696,,126.08
300157,5741,,331.48
300157,373,,187.68
300157,2700,,132.37
300157,2693,,199.24
300163,1628,,692.14
300163,2696,,126.08
300163,5741,,331.48
300163,373,,187.68
300163,2700,,132.37
300163,2693,,199.24
300169,1628,,103.98
300169,2625,,58.69
300169,1002,,701.84
300169,158,,292.19
300175,1628,,103.98
300175,2625,,58.69
300175,1002,,701.84
300175,158,,292.19
300181,1673,,54.63
300181,1610,,147.02
300181,2393,,279.32
300181,158,,457.58
300181,2112,,261.47
300181,2639,,162.86
300185,1673,,54.63
300185,1610,,147.02
300185,2393,,279.32
300185,158,,457.58
300185,2112,,261.47
300185,2639,,162.86
388155,534,,718.7
388155,L21487,,470.2
388155,L21485,,295.95
388155,L21521,,111.09
388155,L15649,,559.63
388189,1673,,54.63
388189,1610,,988.43
388189,L38041,,2323.65
388189,719,,165.96
388189,2049,,440.43
388189,L27691,,120.54
388189,1984,,81.53
388189,L15621,,760.98
388189,L21485,,295.95
388189,L21521,,579.3
388191,1673,,54.63
388191,1610,,988.43
388191,L38041,,2323.65
388191,719,,165.96
388191,2049,,440.43
388191,L27691,,120.54
388191,1984,,81.53
388191,L15621,,760.98
388191,L21485,,295.95
388191,L21521,,579.3
388193,1673,,54.63
388193,1610,,988.43
388193,L38041,,2323.65
388193,719,,165.96
388193,2049,,440.43
388193,L27691,,120.54
388193,1984,,81.53
388193,L15621,,760.98
388193,L21485,,295.95
388193,L21521,,579.3
388195,1673,,54.63
388195,1610,,988.43
388195,L38041,,2323.65
388195,719,,165.96
388195,2049,,440.43
388195,L27691,,120.54
388195,1984,,81.53
388195,L15621,,760.98
388195,L21485,,295.95
388195,L21521,,579.3
388197,1610,,988.43
388197,L38041,,2323.65
388197,719,,165.96
388197,2049,,440.43
388197,L27691,,120.54
388197,1984,,81.53
388197,L15621,,760.98
388197,L21485,,295.95
388197,L21521,,579.3
388199,1610,,988.43
388199,L38041,,2323.65
388199,719,,165.96
388199,2049,,440.43
388199,L27691,,120.54
388199,1984,,81.53
388199,L15621,,760.98
388199,L21485,,295.95
388199,L21521,,579.3
388201,1610,,988.43
388201,L38041,,2323.65
388201,719,,165.96
388201,2049,,440.43
388201,L27691,,120.54
388201,1984,,81.53
388201,L15621,,760.98
388201,L21485,,295.95
388201,L21521,,579.3
388203,1610,,988.43
388203,L38041,,2323.65
388203,719,,165.96
388203,2049,,440.43
388203,L27691,,120.54
388203,1984,,81.53
388203,L15621,,760.98
388203,L21485,,295.95
388203,L21521,,579.3
388205,534,,433.9
388205,1913,,348.24
388205,703,,909.63
388205,L38049,,0
388205,L38049,,2233.48
388205,L27685,,898.09
388205,531,,294.34
388205,1628,,199.24
388205,2693,,238.99
388207,534,,433.9
388207,1913,,348.24
388207,703,,909.63
388207,L38049,,0
388207,L38049,,2233.48
388207,L27685,,898.09
388207,531,,294.34
388207,1628,,199.24
388207,2693,,238.99
388209,534,,433.9
388209,1913,,348.24
388209,703,,909.63
388209,L38049,,0
388209,L38049,,2233.48
388209,L27685,,898.09
388209,531,,294.34
388209,1628,,199.24
388209,2693,,238.99
388211,534,,433.9
388211,1913,,348.24
388211,703,,909.63
388211,L38049,,0
388211,L38049,,2233.48
388211,L27685,,898.09
388211,531,,294.34
388211,1628,,199.24
388211,2693,,238.99
285227,1673,,0
285227,1673,,162.86
285227,2639,,261.47
285227,2112,,457.58
285227,158,,324.2
285227,1610,,54.63
299589,1673,,54.63
299589,1610,,102.58
299589,L24601,,315.34
299589,158,,320.64
299589,2639,,35.5
299589,L24561,,145.13
299595,1673,,54.63
299595,1610,,102.58
299595,L24601,,315.34
299595,158,,320.64
299595,2639,,35.5
299595,L24561,,145.13
373463,1610,,988.43
373463,L38041,,2323.65
373463,719,,165.96
373463,2049,,440.43
373463,L27691,,120.54
373463,1984,,81.53
373463,L15621,,760.98
373463,L21485,,295.95
373463,L21521,,579.3
373473,534,,433.9
373473,1913,,348.24
373473,703,,909.63
373473,L38049,,0
373473,L38049,,2233.48
373473,L27685,,898.09
373473,531,,294.34
373473,1628,,199.24
373473,2693,,238.99
307685,718,,373.11
307685,4448,,75.63
307685,1636,,145.9
307685,2166,,98.66
307685,666,,124.43
307685,2637,,155.56
307691,718,,517.36
307691,CMS022,,68.31
307691,655,,242.69
307691,2636,,100.94
307691,465,,36.24
307691,L00203,,206.34
307697,718,,373.11
307697,4448,,155.95
307697,931,,60.53
307697,446,,217.71
307697,804,,233.81
307697,965,,136.96
307703,718,,310.71
307703,L39802,,130.42
307703,454,,223.07
307703,945,,84.63
307703,666,,170.26
307703,867,,101.18
307709,282,,540
307709,654,,117.47
307709,1629,,196.33
307709,2627,,181.45
307709,L44069,,152.92
299689,1610,,988.43
299689,L38041,,2323.65
299689,719,,165.96
299689,2049,,440.43
299689,L27691,,42.09
299689,L15621,,81.53
299689,1984,,401.56
299689,L21521,,295.95
299689,L21485,,656.08
299695,1610,,988.43
299695,L38041,,2323.65
299695,719,,165.96
299695,2049,,440.43
299695,L27691,,42.09
299695,L15621,,81.53
299695,1984,,401.56
299695,L21521,,295.95
299695,L21485,,656.08
299699,534,,433.9
299699,1913,,348.24
299699,703,,909.63
299699,L38049,,0
299699,L38049,,2233.48
299699,L27685,,898.09
299699,531,,294.34
299699,1628,,199.24
299699,2693,,238.99
299705,534,,433.9
299705,1913,,348.24
299705,703,,909.63
299705,L38049,,0
299705,L38049,,2233.48
299705,L27685,,898.09
299705,531,,294.34
299705,1628,,199.24
299705,2693,,238.99
307553,1628,,432.16
307553,282,,127.76
307553,373,,175.87
307553,2050,,255.66
307553,1723,,172.25
307553,2690,,76.41
307561,1628,,444.86
307561,2836,,75.62
307561,4070,,169.53
307561,531,,219.72
307561,2625,,58.69
307561,1002,,65.58
307569,1628,,692.14
307569,2696,,126.08
307569,5741,,331.48
307569,373,,187.68
307569,2700,,132.37
307569,2693,,199.24
307577,1628,,103.98
307577,2625,,58.69
307577,1002,,701.84
307577,158,,292.19
307583,1673,,54.63
307583,1610,,147.02
307583,2393,,279.32
307583,158,,457.58
307583,2112,,261.47
307583,2639,,162.86
301145,1673,,93.5
301145,2393,,279.32
301145,158,,457.58
301145,2112,,261.47
301145,2639,,123.75
301145,1610,,54.63
308175,534,,433.9
308175,1913,,0
308175,1913,,346.61
308175,4668,,376.95
308175,CL0405,,231.12
308221,1673,,93.5
308221,2393,,279.32
308221,158,,457.58
308221,2112,,261.47
308221,2639,,123.75
308221,1610,,54.63
389235,534,,433.9
389235,1913,,0
389235,1913,,346.61
389235,4668,,376.95
389235,CL0405,,231.12
389237,534,,433.9
389237,1913,,0
389237,1913,,346.61
389237,4668,,376.95
389237,CL0405,,231.12
389239,534,,433.9
389239,1913,,0
389239,1913,,346.61
389239,4668,,376.95
389239,CL0405,,231.12
389241,534,,433.9
389241,1913,,0
389241,1913,,346.61
389241,4668,,376.95
