ITINERARY_ID,PORT_ID,DAY,TIME_IN_PORT,TIME_OUT_PORT,TENDER
267385,282,,,23:00,N
267385,,,,,N
267385,654,,07:00,19:00,N
267385,1629,,08:00,18:00,N
267385,2627,,08:00,18:00,N
267385,L44069,,09:00,18:00,N
267385,718,,06:00,,N
267387,718,,,23:00,N
267387,,,,,N
267387,CMS022,,07:00,23:00,N
267387,655,,08:00,18:00,N
267387,2636,,08:00,18:00,N
267387,465,,08:00,23:00,N
267387,L00203,,08:00,17:00,N
267387,718,,07:00,,N
267389,718,,,23:00,N
267389,,,,,N
267389,4448,,07:00,19:00,Y
267389,1636,,08:00,18:00,N
267389,2166,,08:00,18:00,Y
267389,666,,08:00,18:00,N
267389,2637,,09:00,18:00,N
267389,718,,07:00,,N
267391,718,,,23:00,N
267391,,,,,N
267391,L39802,,07:00,18:00,Y
267391,454,,08:00,18:00,N
267391,945,,08:00,18:00,Y
267391,666,,08:00,17:00,N
267391,867,,10:00,18:00,N
267391,718,,07:00,,N
267393,718,,,23:00,N
267393,,,,,N
267393,4448,,07:00,18:00,N
267393,931,,08:00,22:00,N
267393,446,,08:00,17:00,N
267393,804,,08:00,18:00,N
267393,965,,08:00,18:00,N
267393,718,,07:00,,N
172989,,,,,N
172989,373,,08:00,18:00,N
172989,282,,08:00,19:00,N
172989,2050,,08:00,17:00,N
172989,1723,,09:00,18:00,N
172989,2690,,09:00,19:00,N
172989,1628,,06:00,,N
172989,1628,,,22:00,N
172991,1673,,,23:59,N
172991,2393,,08:00,16:00,N
172991,158,,08:00,20:00,N
172991,,,,,N
172991,2112,,08:00,17:00,N
172991,2639,,08:00,23:00,N
172991,1610,,08:00,23:00,N
172991,1673,,06:00,,N
262471,534,,,20:00,N
262471,,,,,N
262471,L15649,,08:00,18:00,N
262471,L21521,,07:00,17:00,N
262471,L21485,,09:00,19:00,N
262471,L21487,,08:00,18:00,N
262471,,,,,N
262471,534,,08:00,,N
252203,,,,,N
252203,4070,,09:00,18:00,N
252203,2836,,08:00,18:00,N
252203,531,,08:00,17:00,N
252203,2625,,10:00,19:00,N
252203,1002,,08:00,18:00,N
252203,1628,,06:00,,N
252203,1628,,,06:00,N
149709,1628,,,22:00,N
149709,,,,,N
149709,2836,,08:00,18:00,N
149709,4070,,09:00,18:00,N
149709,531,,08:00,17:00,N
149709,2625,,10:00,19:00,N
149709,1002,,08:00,18:00,N
149709,1628,,06:00,,N
149711,1628,,,22:00,N
149711,,,,,N
149711,2696,,10:00,18:00,N
149711,5741,,07:00,17:00,Y
149711,373,,10:00,18:00,N
149711,2700,,08:00,18:00,N
149711,2693,,08:00,16:00,N
149711,1628,,06:00,,N
149713,1628,,,22:00,N
149713,2625,,09:00,19:00,N
149713,1002,,08:00,18:00,N
149713,,,,,N
149713,158,,08:00,17:00,N
149713,1673,,08:00,,N
149715,1673,,,23:59,N
149715,1610,,08:00,23:00,N
149715,2393,,08:00,16:00,N
149715,158,,08:00,20:00,N
149715,,,,,N
149715,2112,,08:00,17:00,N
149715,2639,,09:00,18:00,N
149715,1673,,06:00,,N
149717,1673,,,23:59,N
149717,1610,,08:00,23:00,N
149717,L24601,,08:00,16:00,N
149717,158,,08:00,20:00,N
149717,,,,,N
149717,2639,,08:00,18:00,N
149717,L24561,,08:00,18:00,N
149717,1673,,06:00,,N
149707,,,,,N
149707,282,,08:00,21:00,N
149707,373,,08:00,18:00,N
149707,2050,,08:00,17:00,N
149707,1723,,09:00,18:00,N
149707,2690,,09:00,19:00,N
149707,1628,,06:00,,N
149707,1628,,,22:00,N
190681,534,,,22:00,N
190681,,,,,Y
190681,1913,,08:00,23:59,N
190681,,,,,N
190681,703,,08:00,18:00,N
190681,,,,,N
190681,L38049,,14:00,23:59,N
190681,L38049,,00:01,17:00,N
190681,,,,,N
190681,,,,,N
190681,,,,,N
190681,,,,,N
190681,L27685,,08:00,16:00,N
190681,,,,,N
190681,531,,10:00,19:00,N
190681,,,,,N
190681,1628,,08:00,18:00,N
190681,2693,,08:00,16:00,N
190681,282,,06:00,,N
190683,1610,,08:00,23:00,N
190683,L24601,,08:00,16:00,N
190683,158,,08:00,20:00,N
190683,,,,,N
190683,2639,,08:00,18:00,N
190683,L24561,,08:00,18:00,N
190683,1673,,06:00,,N
190683,1673,,,23:59,N
190685,1610,,,23:00,N
190685,L24601,,08:00,16:00,N
190685,158,,08:00,20:00,N
190685,,,,,N
190685,2639,,08:00,18:00,N
190685,L24561,,08:00,18:00,N
190685,1673,,06:00,23:59,N
190685,1610,,08:00,,N
190687,534,,,20:00,N
190687,CL0405,,09:00,20:00,Y
190687,,,,,N
190687,1913,,07:00,23:59,N
190687,1913,,00:01,14:00,N
190687,4668,,08:00,20:00,N
190687,,,,,N
190687,534,,08:00,,N
190689,534,,,20:00,N
190689,,,,,N
190689,1913,,08:00,23:59,N
190689,1913,,00:01,14:00,N
190689,4668,,08:00,23:00,N
190689,,,,,N
190689,CL0405,,07:00,18:00,Y
190689,534,,08:00,,N
190691,534,,,20:00,N
190691,,,,,N
190691,4404,,07:00,18:00,Y
190691,L46052,,08:00,18:00,N
190691,L15647,,08:00,20:00,N
190691,L38042,,07:00,18:00,Y
190691,,,,,N
190691,534,,08:00,,N
190693,534,,,20:00,N
190693,,,,,N
190693,L21487,,09:00,18:00,N
190693,L21485,,07:00,17:00,N
190693,L21521,,09:00,19:00,N
190693,L15649,,08:00,18:00,N
190693,,,,,N
190693,534,,08:00,,N
190695,1673,,,23:59,N
190695,1610,,08:00,23:00,N
190695,,,,,N
190695,,,,,N
190695,L38041,,08:00,18:00,N
190695,,,,,N
190695,,,,,N
190695,,,,,N
190695,,,,,N
190695,719,,09:00,18:00,N
190695,2049,,08:00,15:00,N
190695,L27691,,13:00,18:00,N
190695,1984,,08:00,23:00,N
190695,L15621,,08:00,17:00,N
190695,,,,,N
190695,L21485,,08:00,17:00,N
190695,L21521,,09:00,18:00,N
190695,,,,,N
190695,534,,06:00,,N
190697,1610,,,23:00,N
190697,,,,,N
190697,,,,,N
190697,L38041,,08:00,18:00,N
190697,,,,,N
190697,,,,,N
190697,,,,,N
190697,,,,,N
190697,719,,09:00,18:00,N
190697,2049,,08:00,15:00,N
190697,L27691,,13:00,18:00,N
190697,1984,,08:00,23:00,N
190697,L15621,,08:00,17:00,N
190697,,,,,N
190697,L21485,,08:00,17:00,N
190697,L21521,,09:00,18:00,N
190697,,,,,N
190697,534,,06:00,,N
301055,534,,,20:00,N
301055,,,,,N
301055,1913,,08:00,23:59,N
301055,1913,,00:01,14:00,N
301055,4668,,08:00,23:00,N
301055,,,,,N
301055,CL0405,,07:00,18:00,Y
301055,534,,08:00,,N
301059,534,,,20:00,N
301059,,,,,N
301059,1913,,08:00,23:59,N
301059,1913,,00:01,14:00,N
301059,4668,,08:00,23:00,N
301059,,,,,N
301059,CL0405,,07:00,18:00,Y
301059,534,,08:00,,N
301139,1673,,,23:59,N
301139,2393,,08:00,16:00,N
301139,158,,08:00,20:00,N
301139,,,,,N
301139,2112,,08:00,17:00,N
301139,2639,,08:00,23:00,N
301139,1673,,06:00,,N
301139,1610,,08:00,23:00,N
258497,,,,,N
258497,282,,08:00,21:00,N
258497,373,,08:00,18:00,N
258497,2050,,08:00,17:00,N
258497,1723,,09:00,18:00,N
258497,2690,,09:00,19:00,N
258497,1628,,06:00,,N
258497,1628,,,22:00,N
258507,1628,,,06:00,N
258507,,,,,N
258507,2836,,08:00,18:00,N
258507,4070,,09:00,18:00,N
258507,531,,08:00,17:00,N
258507,2625,,10:00,19:00,N
258507,1002,,08:00,18:00,N
258507,1628,,06:00,,N
258517,1628,,,22:00,N
258517,,,,,N
258517,2696,,10:00,18:00,N
258517,5741,,07:00,17:00,Y
258517,373,,10:00,18:00,N
258517,2700,,08:00,18:00,N
258517,2693,,08:00,16:00,N
258517,1628,,06:00,,N
307211,1610,,08:00,23:00,N
307211,L24601,,08:00,16:00,N
307211,158,,08:00,20:00,N
307211,,,,,N
307211,2639,,08:00,18:00,N
307211,L24561,,08:00,18:00,N
307211,1673,,06:00,,N
307211,1673,,,23:59,N
307217,1610,,,23:00,N
307217,L24601,,08:00,16:00,N
307217,158,,08:00,20:00,N
307217,,,,,N
307217,2639,,08:00,18:00,N
307217,L24561,,08:00,18:00,N
307217,1673,,06:00,23:59,N
307217,1610,,08:00,,N
307223,534,,,20:00,N
307223,CL0405,,09:00,20:00,Y
307223,,,,,N
307223,1913,,07:00,23:59,N
307223,1913,,00:01,14:00,N
307223,4668,,08:00,20:00,N
307223,,,,,N
307223,534,,08:00,,N
307229,534,,,20:00,N
307229,,,,,N
307229,4404,,07:00,18:00,Y
307229,L46052,,08:00,18:00,N
307229,L15647,,08:00,20:00,N
307229,L38042,,07:00,18:00,Y
307229,,,,,N
307229,534,,08:00,,N
307235,534,,,20:00,N
307235,,,,,N
307235,L21487,,09:00,18:00,N
307235,L21485,,07:00,17:00,N
307235,L21521,,09:00,19:00,N
307235,L15649,,08:00,18:00,N
307235,,,,,N
307235,534,,08:00,,N
307265,1673,,,23:59,N
307265,1610,,08:00,23:00,N
307265,,,,,N
307265,,,,,N
307265,L38041,,08:00,18:00,N
307265,,,,,N
307265,,,,,N
307265,,,,,N
307265,,,,,N
307265,719,,09:00,18:00,N
307265,2049,,08:00,15:00,N
307265,L27691,,13:00,18:00,N
307265,1984,,08:00,23:00,N
307265,L15621,,08:00,17:00,N
307265,,,,,N
307265,L21485,,08:00,17:00,N
307265,L21521,,09:00,18:00,N
307265,,,,,N
307265,534,,06:00,,N
307271,1610,,,23:00,N
307271,,,,,N
307271,,,,,N
307271,L38041,,08:00,18:00,N
307271,,,,,N
307271,,,,,N
307271,,,,,N
307271,,,,,N
307271,719,,09:00,18:00,N
307271,2049,,08:00,15:00,N
307271,L27691,,13:00,18:00,N
307271,L15621,,08:00,18:00,N
307271,1984,,08:00,23:00,N
307271,,,,,N
307271,L21521,,08:00,17:00,N
307271,L21485,,09:00,18:00,N
307271,,,,,N
307271,534,,06:00,,N
307277,534,,,22:00,N
307277,,,,,Y
307277,1913,,08:00,23:59,N
307277,,,,,N
307277,703,,08:00,18:00,N
307277,,,,,N
307277,L38049,,14:00,23:59,N
307277,L38049,,00:01,17:00,N
307277,,,,,N
307277,,,,,N
307277,,,,,N
307277,,,,,N
307277,L27685,,08:00,16:00,N
307277,,,,,N
307277,531,,10:00,19:00,N
307277,,,,,N
307277,1628,,08:00,18:00,N
307277,2693,,08:00,16:00,N
307277,282,,06:00,,N
299599,1610,,,23:00,N
299599,L24601,,08:00,16:00,N
299599,158,,08:00,20:00,N
299599,,,,,N
299599,2639,,08:00,18:00,N
299599,L24561,,08:00,18:00,N
299599,1673,,06:00,23:59,N
299599,1610,,08:00,,N
299605,1610,,,23:00,N
299605,L24601,,08:00,16:00,N
299605,158,,08:00,20:00,N
299605,,,,,N
299605,2639,,08:00,18:00,N
299605,L24561,,08:00,18:00,N
299605,1673,,06:00,23:59,N
299605,1610,,08:00,,N
299609,534,,,20:00,N
299609,CL0405,,09:00,20:00,Y
299609,,,,,N
299609,1913,,07:00,23:59,N
299609,1913,,00:01,14:00,N
299609,4668,,08:00,20:00,N
299609,,,,,N
299609,534,,08:00,,N
299615,534,,,20:00,N
299615,CL0405,,09:00,20:00,Y
299615,,,,,N
